Year Opened,state,county,county_id,Number_of_Stations,id
2017,Arkansas,Saline County,5125,1,5125
2017,Arizona,Coconino County,4005,2,4005
2017,Arizona,Maricopa County,4013,26,4013
2017,Arizona,Mohave County,4015,1,4015
2017,Arizona,Pima County,4019,4,4019
2017,California,Alameda County,6001,13,6001
2017,California,Amador County,6005,3,6005
2017,California,Butte County,6007,1,6007
2017,California,Contra Costa County,6013,3,6013
2017,California,El Dorado County,6017,3,6017
2017,California,Fresno County,6019,28,6019
2017,California,Kern County,6029,1,6029
2017,California,Kings County,6031,3,6031
2017,California,Lake County,6033,1,6033
2017,California,Los Angeles County,6037,49,6037
2017,California,Marin County,6041,1,6041
2017,California,Mariposa County,6043,1,6043
2017,California,Mendocino County,6045,3,6045
2017,California,Merced County,6047,1,6047
2017,California,Monterey County,6053,4,6053
2017,California,Napa County,6055,29,6055
2017,California,Nevada County,6057,1,6057
2017,California,Orange County,6059,15,6059
2017,California,Placer County,6061,2,6061
2017,California,Plumas County,6063,2,6063
2017,California,Riverside County,6065,12,6065
2017,California,Sacramento County,6067,6,6067
2017,California,San Bernardino County,6071,10,6071
2017,California,San Diego County,6073,22,6073
2017,California,San Francisco County,6075,9,6075
2017,California,San Joaquin County,6077,2,6077
2017,California,San Luis Obispo County,6079,8,6079
2017,California,San Mateo County,6081,6,6081
2017,California,Santa Barbara County,6083,5,6083
2017,California,Santa Clara County,6085,32,6085
2017,California,Santa Cruz County,6087,2,6087
2017,California,Siskiyou County,6093,1,6093
2017,California,Solano County,6095,2,6095
2017,California,Sonoma County,6097,20,6097
2017,California,Stanislaus County,6099,3,6099
2017,California,Trinity County,6105,1,6105
2017,California,Tuolumne County,6109,2,6109
2017,California,Ventura County,6111,1,6111
2017,California,Yolo County,6113,1,6113
2017,California,Yuba County,6115,1,6115
2017,Colorado,Adams County,8001,9,8001
2017,Colorado,Arapahoe County,8005,7,8005
2017,Colorado,Boulder County,8013,15,8013
2017,Colorado,Chaffee County,8015,1,8015
2017,Colorado,Delta County,8029,1,8029
2017,Colorado,Denver County,8031,14,8031
2017,Colorado,Douglas County,8035,1,8035
2017,Colorado,Eagle County,8037,9,8037
2017,Colorado,El Paso County,8041,5,8041
2017,Colorado,Gilpin County,8047,1,8047
2017,Colorado,Gunnison County,8051,2,8051
2017,Colorado,Jefferson County,8059,7,8059
2017,Colorado,La Plata County,8067,2,8067
2017,Colorado,Larimer County,8069,7,8069
2017,Colorado,Montrose County,8085,1,8085
2017,Colorado,Ouray County,8091,1,8091
2017,Colorado,Pitkin County,8097,2,8097
2017,Colorado,Pueblo County,8101,1,8101
2017,Colorado,Rio Grande County,8105,1,8105
2017,Colorado,Routt County,8107,2,8107
2017,Colorado,San Juan County,8111,1,8111
2017,Colorado,San Miguel County,8113,1,8113
2017,Colorado,Weld County,8123,3,8123
2017,Connecticut,Fairfield County,9001,7,9001
2017,Connecticut,Hartford County,9003,4,9003
2017,Connecticut,Middlesex County,9007,3,9007
2017,Connecticut,New Haven County,9009,6,9009
2017,Connecticut,Tolland County,9013,1,9013
2017,Connecticut,Windham County,9015,1,9015
2017,District Of Columbia,District of Columbia,11001,21,11001
2017,Delaware,Kent County,10001,4,10001
2017,Delaware,New Castle County,10003,4,10003
2017,Delaware,Sussex County,10005,8,10005
2017,Florida,Alachua County,12001,6,12001
2017,Florida,Bay County,12005,2,12005
2017,Florida,Brevard County,12009,4,12009
2017,Florida,Broward County,12011,18,12011
2017,Florida,Collier County,12021,11,12021
2017,Florida,Duval County,12031,8,12031
2017,Florida,Escambia County,12033,2,12033
2017,Florida,Flagler County,12035,1,12035
2017,Florida,Highlands County,12055,1,12055
2017,Florida,Hillsborough County,12057,13,12057
2017,Florida,Lee County,12071,1,12071
2017,Florida,Manatee County,12081,4,12081
2017,Florida,Marion County,12083,1,12083
2017,Florida,Martin County,12085,2,12085
2017,Florida,Miami-Dade County,12086,23,12086
2017,Florida,Monroe County,12087,4,12087
2017,Florida,Nassau County,12089,2,12089
2017,Florida,Okaloosa County,12091,3,12091
2017,Florida,Orange County,12095,24,12095
2017,Florida,Osceola County,12097,3,12097
2017,Florida,Palm Beach County,12099,7,12099
2017,Florida,Pasco County,12101,1,12101
2017,Florida,Pinellas County,12103,11,12103
2017,Florida,Sarasota County,12115,20,12115
2017,Florida,Seminole County,12117,1,12117
2017,Florida,St. Johns County,12109,8,12109
2017,Florida,St. Lucie County,12111,1,12111
2017,Florida,Taylor County,12123,1,12123
2017,Florida,Volusia County,12127,5,12127
2017,Florida,Walton County,12131,4,12131
2017,Georgia,Bibb County,13021,1,13021
2017,Georgia,Camden County,13039,1,13039
2017,Georgia,Candler County,13043,1,13043
2017,Georgia,Chatham County,13051,2,13051
2017,Georgia,Cherokee County,13057,2,13057
2017,Georgia,Clarke County,13059,1,13059
2017,Georgia,Clayton County,13063,9,13063
2017,Georgia,Cobb County,13067,14,13067
2017,Georgia,Coweta County,13077,1,13077
2017,Georgia,Dawson County,13085,1,13085
2017,Georgia,DeKalb County,13089,7,13089
2017,Georgia,Douglas County,13097,1,13097
2017,Georgia,Fulton County,13121,24,13121
2017,Georgia,Glynn County,13127,2,13127
2017,Georgia,Greene County,13133,2,13133
2017,Georgia,Gwinnett County,13135,4,13135
2017,Georgia,Hall County,13139,1,13139
2017,Georgia,Henry County,13151,1,13151
2017,Georgia,Houston County,13153,1,13153
2017,Georgia,Laurens County,13175,1,13175
2017,Georgia,Liberty County,13179,1,13179
2017,Georgia,Lumpkin County,13187,1,13187
2017,Georgia,Muscogee County,13215,3,13215
2017,Georgia,Richmond County,13245,1,13245
2017,Georgia,Towns County,13281,1,13281
2017,Georgia,White County,13311,2,13311
2017,Georgia,Whitfield County,13313,1,13313
2017,Hawaii,Hawaii County,15001,1,15001
2017,Hawaii,Honolulu County,15003,21,15003
2017,Hawaii,Kauai County,15007,1,15007
2017,Hawaii,Maui County,15009,4,15009
2017,Iowa,Decatur County,19053,1,19053
2017,Iowa,Franklin County,19069,1,19069
2017,Iowa,Johnson County,19103,1,19103
2017,Iowa,Linn County,19113,5,19113
2017,Iowa,Polk County,19153,5,19153
2017,Idaho,Ada County,16001,9,16001
2017,Idaho,Blaine County,16013,2,16013
2017,Idaho,Bonner County,16017,1,16017
2017,Idaho,Boundary County,16021,1,16021
2017,Idaho,Minidoka County,16067,1,16067
2017,Illinois,Champaign County,17019,1,17019
2017,Illinois,Cook County,17031,31,17031
2017,Illinois,DuPage County,17043,6,17043
2017,Illinois,Hardin County,17069,1,17069
2017,Illinois,Jackson County,17077,2,17077
2017,Illinois,Jefferson County,17081,1,17081
2017,Illinois,Kane County,17089,4,17089
2017,Illinois,Lake County,17097,7,17097
2017,Illinois,Macon County,17115,1,17115
2017,Illinois,Madison County,17119,1,17119
2017,Illinois,Marion County,17121,1,17121
2017,Illinois,McLean County,17113,1,17113
2017,Illinois,Will County,17197,2,17197
2017,Indiana,Brown County,18013,1,18013
2017,Indiana,Cass County,18017,1,18017
2017,Indiana,Clark County,18019,1,18019
2017,Indiana,Floyd County,18043,1,18043
2017,Indiana,Kosciusko County,18085,1,18085
2017,Indiana,Lawrence County,18093,1,18093
2017,Indiana,Marion County,18097,1,18097
2017,Indiana,Marshall County,18099,2,18099
2017,Indiana,Monroe County,18105,5,18105
2017,Indiana,Newton County,18111,1,18111
2017,Indiana,Owen County,18119,1,18119
2017,Indiana,Porter County,18127,1,18127
2017,Indiana,Rush County,18139,1,18139
2017,Indiana,Spencer County,18147,1,18147
2017,Indiana,St. Joseph County,18141,1,18141
2017,Indiana,Vermillion County,18165,1,18165
2017,Kansas,Ford County,20057,1,20057
2017,Kansas,Johnson County,20091,24,20091
2017,Kansas,Nemaha County,20131,1,20131
2017,Kentucky,Calloway County,21035,1,21035
