Year Opened,state,county,county_id,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,Power_Capacity_Level3_kW,Power_Capacity_Level1_kW,Power_Capacity_Level2_kW,Power_Capacity_kW,All_Ports,id
2021,Georgia,Carroll County,13045,4.0,0.0,2.0,800.0,0.0,26.0,826.0,6.0,13045
2021,Georgia,Chattahoochee County,13053,0.0,0.0,18.0,0.0,0.0,234.0,234.0,18.0,13053
2021,Georgia,Cherokee County,13057,4.0,0.0,8.0,800.0,0.0,104.0,904.0,12.0,13057
2021,Georgia,Clarke County,13059,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,13059
2021,Georgia,Clayton County,13063,2.0,0.0,45.0,400.0,0.0,585.0,985.0,47.0,13063
2021,Georgia,Cobb County,13067,24.0,0.0,88.0,4800.0,0.0,1144.0,5944.0,112.0,13067
2021,Georgia,Columbia County,13073,6.0,0.0,2.0,1200.0,0.0,26.0,1226.0,8.0,13073
2021,Georgia,Coweta County,13077,12.0,0.0,8.0,2400.0,0.0,104.0,2504.0,20.0,13077
2021,Georgia,Crisp County,13081,11.0,0.0,0.0,2200.0,0.0,0.0,2200.0,11.0,13081
2021,Georgia,Dade County,13083,2.0,0.0,0.0,400.0,0.0,0.0,400.0,2.0,13083
2021,Georgia,DeKalb County,13089,7.0,0.0,64.0,1400.0,0.0,832.0,2232.0,71.0,13089
2021,Georgia,Dougherty County,13095,1.0,0.0,4.0,200.0,0.0,52.0,252.0,5.0,13095
2021,Georgia,Douglas County,13097,16.0,0.0,15.0,3200.0,0.0,195.0,3395.0,31.0,13097
2021,Indiana,Grant County,18053,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,18053
2021,Indiana,Hancock County,18059,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,18059
2021,Michigan,Sanilac County,26151,2.0,0.0,1.0,400.0,0.0,13.0,413.0,3.0,26151
2021,Maine,Lincoln County,23015,0.0,0.0,12.0,0.0,0.0,156.0,156.0,12.0,23015
2021,Maine,Penobscot County,23019,0.0,0.0,6.0,0.0,0.0,78.0,78.0,6.0,23019
2021,Maine,Piscataquis County,23021,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,23021
2021,Maine,Sagadahoc County,23023,0.0,0.0,6.0,0.0,0.0,78.0,78.0,6.0,23023
2021,Maine,Somerset County,23025,3.0,0.0,2.0,600.0,0.0,26.0,626.0,5.0,23025
2021,Maine,York County,23031,7.0,0.0,8.0,1400.0,0.0,104.0,1504.0,15.0,23031
2021,Michigan,Alcona County,26001,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,26001
2021,Michigan,Allegan County,26005,1.0,0.0,4.0,200.0,0.0,52.0,252.0,5.0,26005
2021,Michigan,Antrim County,26009,5.0,0.0,6.0,1000.0,0.0,78.0,1078.0,11.0,26009
2021,Michigan,Berrien County,26021,12.0,0.0,4.0,2400.0,0.0,52.0,2452.0,16.0,26021
2021,Michigan,Branch County,26023,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,26023
